Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:02:02 11:11:27, +14.4 ,001.1 ,,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:27, +14.4 ,001.1 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:28, +14.4 ,001.5 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:29, +14.4 ,002.0 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:30, +14.4 ,002.5 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:31, +14.4 ,003.1 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:32, +14.4 ,003.5 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:33, +14.4 ,003.8 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:34, +14.4 ,004.0 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:35, +14.4 ,004.2 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:36, +14.4 ,004.5 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:37, +14.4 ,004.8 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:38, +14.4 ,005.0 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:39, +14.4 ,005.3 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:40, +14.4 ,005.5 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:41, +14.4 ,005.4 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:42, +14.4 ,005.4 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:43, +14.4 ,005.3 ,MOV_0011,0,74,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:44, +14.4 ,005.3 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:45, +14.4 ,005.3 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:46, +14.4 ,005.4 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:47, +14.4 ,005.3 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:48, +14.5 ,005.3 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:49, +14.5 ,005.3 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:11:50, +14.4 ,005.4 ,MOV_0011,0,73,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
