Elapsed Dive Time (hr:min),Depth (M),TLBG (Tissue Loading Bar Graph) (segments),O2BG (Oxygen Bar Graph) (segments),Tank,Pressure Reading (BAR),PO2 (ATA),VARI (Variable Ascent Rate Indicator) (MPM),Air Time Remaining (hr:min),Dive Time Remaining (hr:min),Deco Time (hr:min),Stop Depth (M),Temp. (C),Link Status,Status
00:00,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:00,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:01,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:01,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:02,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:02,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:03,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:03,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:04,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:04,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:05,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:05,1.2 ,0,0,1,N/A,0.54,3-4.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:06,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:06,1.2 ,0,0,1,N/A,0.54,3-4.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:07,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:07,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:08,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:08,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:09,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:09,0.9 ,0,0,1,N/A,0.54,3-4.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:10,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:10,0.9 ,0,0,1,N/A,0.54,3-4.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:11,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:11,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:12,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:12,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:13,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:13,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:14,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:14,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:15,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:15,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:16,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:16,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:17,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:17,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:18,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:18,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:19,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:19,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:20,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:20,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:21,0.0 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:22,0.0 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:22,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:23,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:23,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:24,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:24,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:25,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:25,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:26,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:26,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:27,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:27,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:28,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:28,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:29,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:29,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:30,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:30,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:31,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:31,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:32,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:32,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:33,1.2 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:33,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:34,0.9 ,0,0,1,N/A,0.54,6-7.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:34,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:35,0.9 ,0,0,1,N/A,0.54,6-7.5 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
00:35,0.9 ,0,0,1,N/A,0.54,0-3 P,N/A,09:59,00:00,0.0 ,10.0 ,N/A,
