Elapsed Dive Time (hr:min),Depth (FT),TLBG (Tissue Loading Bar Graph) (segments),O2BG (Oxygen Bar Graph) (segments),Tank,Pressure Reading (PSI),PO2 (ATA),VARI (Variable Ascent Rate Indicator) (FPM),Air Time Remaining (hr:min),Dive Time Remaining (hr:min),Deco Time (hr:min),Stop Depth (FT),Temp. (F),Link Status,Status
00:00,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:00,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:01,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:01,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:02,5 ,0,0,1,N/A,0.32,21-25 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:02,5 ,0,0,1,N/A,0.32,21-25 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:03,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:03,5 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,50 ,N/A,
00:04,41 ,1,5,1,N/A,0.32,0-10 ,N/A,07:16,00:00,0 ,32 ,N/A,
00:04,41 ,1,5,1,N/A,0.32,0-10 ,N/A,07:16,00:00,0 ,32 ,N/A,
00:05,0 ,0,0,1,N/A,0.32,0-10 ,N/A,00:00,25:36,30 ,32 ,N/A,Decompression
00:05,0 ,0,0,1,N/A,0.32,0-10 ,N/A,00:00,25:36,30 ,32 ,N/A,Decompression
00:06,20 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,54 ,N/A,
00:06,29 ,0,0,1,N/A,0.32,0-10 ,N/A,05:10,00:00,0 ,53 ,N/A,
00:07,20 ,0,0,1,N/A,0.32,0-10 ,N/A,09:59,00:00,0 ,54 ,N/A,
00:07,29 ,0,0,1,N/A,0.32,0-10 ,N/A,05:10,00:00,0 ,53 ,N/A,
00:08,33 ,0,0,1,N/A,0.32,0-10 ,N/A,03:31,00:00,0 ,53 ,N/A,
00:08,34 ,0,0,1,N/A,0.32,0-10 ,N/A,03:31,00:00,0 ,53 ,N/A,
00:09,33 ,0,0,1,N/A,0.32,0-10 ,N/A,03:31,00:00,0 ,53 ,N/A,
00:09,34 ,0,0,1,N/A,0.32,0-10 ,N/A,03:31,00:00,0 ,53 ,N/A,
00:10,39 ,0,0,1,N/A,0.32,0-10 ,N/A,02:22,00:00,0 ,52 ,N/A,
00:10,39 ,0,0,1,N/A,0.32,0-10 ,N/A,02:29,00:00,0 ,52 ,N/A,
00:11,39 ,0,0,1,N/A,0.32,0-10 ,N/A,02:22,00:00,0 ,52 ,N/A,
00:11,39 ,0,0,1,N/A,0.32,0-10 ,N/A,02:29,00:00,0 ,52 ,N/A,
00:12,41 ,0,0,1,N/A,0.32,0-10 ,N/A,02:14,00:00,0 ,52 ,N/A,
00:12,41 ,0,0,1,N/A,0.32,>30 ,N/A,02:14,00:00,0 ,52 ,N/A,Too ast
00:13,41 ,0,0,1,N/A,0.32,0-10 ,N/A,02:14,00:00,0 ,52 ,N/A,
00:13,41 ,0,0,1,N/A,0.32,>30 ,N/A,02:14,00:00,0 ,52 ,N/A,Too ast
00:14,36 ,0,0,1,N/A,0.32,11-15 ,N/A,02:46,00:00,0 ,51 ,N/A,
00:14,37 ,0,0,1,N/A,0.32,0-10 ,N/A,02:46,00:00,0 ,51 ,N/A,
00:15,36 ,0,0,1,N/A,0.32,11-15 ,N/A,02:46,00:00,0 ,51 ,N/A,
00:15,37 ,0,0,1,N/A,0.32,0-10 ,N/A,02:46,00:00,0 ,51 ,N/A,
00:16,40 ,0,0,1,N/A,0.32,0-10 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:16,40 ,0,0,1,N/A,0.32,0-10 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:17,40 ,0,0,1,N/A,0.32,0-10 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:17,40 ,0,0,1,N/A,0.32,0-10 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:18,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:11,00:00,0 ,51 ,N/A,
00:18,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:18,00:00,0 ,51 ,N/A,
00:19,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:11,00:00,0 ,51 ,N/A,
00:19,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:18,00:00,0 ,51 ,N/A,
00:20,38 ,1,0,1,N/A,0.32,0-10 ,N/A,02:25,00:00,0 ,51 ,N/A,
00:20,38 ,1,0,1,N/A,0.32,0-10 ,N/A,02:24,00:00,0 ,51 ,N/A,
00:21,38 ,1,0,1,N/A,0.32,0-10 ,N/A,02:25,00:00,0 ,51 ,N/A,
00:21,38 ,1,0,1,N/A,0.32,0-10 ,N/A,02:24,00:00,0 ,51 ,N/A,
00:22,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:22,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:23,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:23,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:24,34 ,1,0,1,N/A,0.32,0-10 ,N/A,03:06,00:00,0 ,51 ,N/A,
00:24,37 ,1,0,1,N/A,0.32,0-10 ,N/A,02:41,00:00,0 ,51 ,N/A,
00:25,34 ,1,0,1,N/A,0.32,0-10 ,N/A,03:06,00:00,0 ,51 ,N/A,
00:25,37 ,1,0,1,N/A,0.32,0-10 ,N/A,02:41,00:00,0 ,51 ,N/A,
00:26,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:22,00:00,0 ,51 ,N/A,
00:26,40 ,1,0,1,N/A,0.32,21-25 ,N/A,02:14,00:00,0 ,51 ,N/A,
00:27,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:22,00:00,0 ,51 ,N/A,
00:27,40 ,1,0,1,N/A,0.32,21-25 ,N/A,02:14,00:00,0 ,51 ,N/A,
00:28,41 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,51 ,N/A,
00:28,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,51 ,N/A,
00:29,41 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,51 ,N/A,
00:29,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,51 ,N/A,
00:30,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:59,00:00,0 ,51 ,N/A,
00:30,41 ,1,0,1,N/A,0.32,21-25 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:31,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:59,00:00,0 ,51 ,N/A,
00:31,41 ,1,0,1,N/A,0.32,21-25 ,N/A,02:12,00:00,0 ,51 ,N/A,
00:32,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:04,00:00,0 ,51 ,N/A,
00:32,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:11,00:00,0 ,51 ,N/A,
00:33,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:04,00:00,0 ,51 ,N/A,
00:33,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:11,00:00,0 ,51 ,N/A,
00:34,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:10,00:00,0 ,51 ,N/A,
00:34,40 ,1,0,1,N/A,0.32,11-15 ,N/A,02:10,00:00,0 ,51 ,N/A,
00:35,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:10,00:00,0 ,51 ,N/A,
00:35,40 ,1,0,1,N/A,0.32,11-15 ,N/A,02:10,00:00,0 ,51 ,N/A,
00:36,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:25,00:00,0 ,51 ,N/A,
00:36,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:37,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:25,00:00,0 ,51 ,N/A,
00:37,39 ,1,0,1,N/A,0.32,0-10 ,N/A,02:09,00:00,0 ,51 ,N/A,
00:38,41 ,1,0,1,N/A,0.32,0-10 ,N/A,01:50,00:00,0 ,51 ,N/A,
00:38,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,50 ,N/A,
00:39,41 ,1,0,1,N/A,0.32,0-10 ,N/A,01:50,00:00,0 ,51 ,N/A,
00:39,42 ,1,0,1,N/A,0.32,0-10 ,N/A,01:55,00:00,0 ,50 ,N/A,
00:40,40 ,1,0,1,N/A,0.32,0-10 ,N/A,02:00,00:00,0 ,51 ,N/A,
