Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2020:02:02 11:46:55, +14.5 ,000.4 ,MOV_0026,0,60,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:46:56, +14.5 ,000.4 ,MOV_0026,0,60,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:46:57, +14.5 ,000.4 ,MOV_0026,0,60,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:46:58, +14.5 ,000.4 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:46:59, +14.5 ,000.5 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:00, +14.5 ,000.8 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:01, +14.5 ,001.2 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:02, +14.5 ,001.5 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:03, +14.5 ,001.8 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:04, +14.5 ,002.0 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:05, +14.5 ,002.4 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:06, +14.5 ,002.7 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:07, +14.5 ,002.8 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:08, +14.5 ,002.9 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:09, +14.5 ,003.3 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:10, +14.5 ,003.5 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:11, +14.5 ,003.6 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:12, +14.6 ,004.0 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:13, +14.5 ,004.1 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:14, +14.5 ,004.1 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:15, +14.5 ,004.5 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:16, +14.5 ,004.6 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:17, +14.5 ,004.6 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:18, +14.6 ,004.6 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:19, +14.6 ,004.6 ,MOV_0026,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:20, +14.6 ,004.8 ,,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:20, +14.6 ,004.8 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:21, +14.5 ,004.9 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:22, +14.5 ,004.8 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:23, +14.6 ,004.8 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:24, +14.5 ,005.0 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:25, +14.5 ,005.0 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:26, +14.6 ,005.1 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:27, +14.5 ,005.1 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:28, +14.6 ,005.2 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:29, +14.6 ,005.4 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:30, +14.5 ,005.5 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:31, +14.6 ,005.5 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:32, +14.6 ,005.6 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
2020:02:02 11:47:33, +14.6 ,005.6 ,MOV_0027,0,59,Video,720P,100,On,Green,Off,On,Off,32,1.4.7
